,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
8,20170601,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,115.08345413370128,89.76777220834717,82.6798470056063
143,20170602,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,114.32954340371776,88.20173370359375,82.48481990557195
222,20170603,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,79.48082039459514,62.888962630478964,68.18089200156022
304,20170604,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,72.46566649783725,57.05852559512375,56.639362872661856
466,20170605,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,76.67766968813129,61.66931554220446,57.68726967881657
502,20170606,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,106.49352917547199,85.5703232792497,83.49779648485485
646,20170607,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,109.36654033567949,83.1776027385298,80.77614964109192
750,20170608,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,113.1972218826228,89.53781488144102,84.35358704321452
797,20170609,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,110.95295480610812,87.76510586769597,82.56341291603357
966,20170610,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,107.85871887571243,81.96668820697325,86.47850917791712
997,20170611,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,109.23264113267084,81.11671935309221,80.6800915171944
1103,20170612,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,108.73197454750805,77.73721990324327,76.97748746878113
1257,20170613,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,109.2908581774572,78.19131285257698,76.28179378358395
1279,20170614,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,98.65751494722626,63.96306710678753,61.51504037352056
1452,20170615,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,108.69995517287552,77.92351444655966,72.92558115164958
1493,20170616,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,105.2593278260009,78.26408415855995,75.021394763959
1650,20170617,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,106.28976951871971,81.11380850085287,84.74073039104391
1716,20170618,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,108.97357528337149,77.94971211671354,77.03279366132817
1790,20170619,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,105.48928515290709,76.51466196272945,73.94437943541111
1874,20170620,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,104.79650231994923,78.2116888182522,76.2585069656694
2023,20170621,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,107.2270639397803,81.42235883822066,79.12569642139827
2073,20170622,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,109.97199760145777,89.95697760390287,81.0061069679981
2163,20170623,c7537db4101856877ea6381d0174283c,fc8f364ac301acd5288d01ffba1439d8,c7537db4101856877ea6381d0174283cfc8f364ac301acd5288d01ffba1439d8,113.22050870053735,91.2115549190492,88.63545068725222
