,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
26,20170601,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,260.15450803686304,167.21972859213722,164.85611657381045
182,20170602,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,259.0658492993578,164.19826396772447,160.02992356102018
284,20170603,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,259.5577833278027,159.8116096430713,170.74768150619136
300,20170604,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,249.05833930058049,154.58080816901574,156.78723416641927
411,20170605,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,210.57396184454888,113.69497761554628,123.02716989480179
580,20170606,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,90.99324100110032,68.81254693749237,68.9435352882617
667,20170607,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,89.4301133485862,67.55796962234604,66.96415576552504
744,20170608,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,135.21199736858958,95.74375185566832,83.34061046393164
824,20170609,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,240.5382747960948,158.57158658912158,155.13095924224694
958,20170610,ee2ff207184bf16b4a0aec0f97900c27,611597091d964406138868766d513d10,ee2ff207184bf16b4a0aec0f97900c27611597091d964406138868766d513d10,246.0426963806464,158.3823811935659,169.0273678327541
